pair,date,open,high,low,close,volume,close_time,quote_volume,trades
CHZ/USDC,2025-03-09,0.053,0.053,0.053,0.053,0.0,2025-03-09 23:59:59.999,0.0,0
CHZ/USDC,2025-03-10,0.053,0.053,0.053,0.053,0.0,2025-03-10 23:59:59.999,0.0,0
FTM/USDC,2025-03-09,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-09 23:59:59.999,0.0,0
FTM/USDC,2025-03-10,0.7001,0.7001,0.7001,0.7001,0.0,2025-03-10 23:59:59.999,0.0,0
SSV/USDC,2025-03-09,9.89,9.89,9.89,9.89,0.0,2025-03-09 23:59:59.999,0.0,0
SSV/USDC,2025-03-10,9.89,9.89,7.99,7.99,23575.32805,2025-03-10 23:59:59.999,2901.592,14
RSS3/USDC,2025-03-09,0.05014,0.05014,0.04814,0.04814,4225.3279,2025-03-09 23:59:59.999,84897.5,3
RSS3/USDC,2025-03-10,0.04814,0.04814,0.04814,0.04814,0.0,2025-03-10 23:59:59.999,0.0,0
YFI/USDC,2025-03-09,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-09 23:59:59.999,0.0,0
YFI/USDC,2025-03-10,5906.0,5906.0,5906.0,5906.0,0.0,2025-03-10 23:59:59.999,0.0,0
MMS/ETH,2025-03-09,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-09 23:59:59.999,0.0,0
MMS/ETH,2025-03-10,0.01223,0.01223,0.01223,0.01223,0.0,2025-03-10 23:59:59.999,0.0,0
BAL/USDC,2025-03-09,1.977,1.977,1.977,1.977,0.0,2025-03-09 23:59:59.999,0.0,0
BAL/USDC,2025-03-10,1.977,1.977,1.977,1.977,0.0,2025-03-10 23:59:59.999,0.0,0
DODO/USDC,2025-03-09,0.0753,0.0754,0.0659,0.0668,11597.67554,2025-03-09 23:59:59.999,164582.7,2205
DODO/USDC,2025-03-10,0.0668,0.0713,0.0657,0.0698,6612.67201,2025-03-10 23:59:59.999,96738.3,1268
ZUZALU/ETH,2025-03-09,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-09 23:59:59.999,0.0,0
ZUZALU/ETH,2025-03-10,2.41e-06,2.41e-06,2.41e-06,2.41e-06,0.0,2025-03-10 23:59:59.999,0.0,0
DEGEN/USDC,2025-03-09,0.1,0.1,0.1,0.1,0.0,2025-03-09 23:59:59.999,0.0,0
DEGEN/USDC,2025-03-10,0.1,0.1,0.1,0.1,0.0,2025-03-10 23:59:59.999,0.0,0
LRC/USDC,2025-03-09,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-09 23:59:59.999,0.0,0
LRC/USDC,2025-03-10,0.1307,0.1307,0.1307,0.1307,0.0,2025-03-10 23:59:59.999,0.0,0
ZUZALU/USDC,2025-03-09,0.004025,0.004025,0.004025,0.004025,0.0,2025-03-09 23:59:59.999,0.0,0
ZUZALU/USDC,2025-03-10,0.004025,0.004025,0.004025,0.004025,0.0,2025-03-10 23:59:59.999,0.0,0
LINK/USDT,2025-03-09,203.1,203.1,203.1,203.1,0.0,2025-03-09 23:59:59.999,0.0,0
LINK/USDT,2025-03-10,203.1,203.1,203.1,203.1,0.0,2025-03-10 23:59:59.999,0.0,0
POWR/USDC,2025-03-09,0.2232,0.2232,0.2232,0.2232,0.0,2025-03-09 23:59:59.999,0.0,0
POWR/USDC,2025-03-10,0.2232,0.2232,0.2232,0.2232,0.0,2025-03-10 23:59:59.999,0.0,0
LINK/USDC,2025-03-09,15.27,15.38,13.62,13.81,82960.12998,2025-03-09 23:59:59.999,5794.7496,11082
LINK/USDC,2025-03-10,13.81,14.57,13.67,14.1,53369.86035,2025-03-10 23:59:59.999,3786.9508,7102
LADYS/USDC,2025-03-09,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-03-09 23:59:59.999,0.0,0
LADYS/USDC,2025-03-10,4.721e-08,4.721e-08,4.721e-08,4.721e-08,0.0,2025-03-10 23:59:59.999,0.0,0
OMG/USDC,2025-03-09,0.2649,0.2649,0.2649,0.2649,0.0,2025-03-09 23:59:59.999,0.0,0
OMG/USDC,2025-03-10,0.2649,0.2649,0.2649,0.2649,0.0,2025-03-10 23:59:59.999,0.0,0
PENDLE/USDC,2025-03-09,2.393,2.4,2.022,2.063,134708.546656,2025-03-09 23:59:59.999,62307.887,23735
PENDLE/USDC,2025-03-10,2.063,2.199,2.024,2.124,72509.187527,2025-03-10 23:59:59.999,34348.885,13203
AXS/USDC,2025-03-09,4.305,4.305,4.305,4.305,0.0,2025-03-09 23:59:59.999,0.0,0
AXS/USDC,2025-03-10,4.305,4.305,4.305,4.305,0.0,2025-03-10 23:59:59.999,0.0,0
APT/USDC,2025-03-09,5.956,6.15,5.582,5.615,244655.288025,2025-03-09 23:59:59.999,41717.607,37985
APT/USDC,2025-03-10,5.615,5.757,5.372,5.553,136152.623303,2025-03-10 23:59:59.999,24328.491,20763
