token,tokenid,symbol,__row_index
0xba100000625a3754423978a60c9317c58a424e3d,137,BAL,0
0x5afe3855358e112b5647b952709e6165e1c1eeee,240,SAFE,1
0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,43,YFI,2
0x4e15361fd6b4bb609fa63c81a2be19d873717870,112,FTM,3
0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,142,LEO,4
0xf2d4900994b24adac8b396500f24e0557e2bf84d,88,RATS,5
0xce0cd513a069e8ec9cb625fcdf6d5f29aa912dbc,245,MMS,6
0x3506424f91fd33084466f402d5d97f05f8e3b4af,82,CHZ,7
0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,164,MVL,8
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,218,ORN,9
0xc98d64da73a6616c42117b582e832812e7b8d57f,167,RSS3,10
0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,41,SSV,11
0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,224,DODO,12
0xf4feec8cf825cd5b23f8abb3075c01c22abd4352,170,DEGEN,13
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,124,LRC,14
0xd1f17b7a6bff962659ed608bcd6d318bb5fbb249,73,ZUZALU,15
0x595832f8fc6bf59c85c527fec3740a1b7a361269,127,POWR,16
0x514910771af9ca656af840dff83e8264ecf986ca,50,LINK,17
0x12970e6868f88f6557b76120662c1b3e50a646bf,165,LADYS,18
0x6135177a17e02658df99a07a2841464deb5b8589,185,FEARNOT,19
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,85,OMG,20
0xfd1450a131599ff34f3be1775d8c8bf79e353d8c,56,SHIBA,21
0x808507121b80c02388fad14726482e061b8da827,101,PENDLE,22
0xbb0e17ef65f82ab018d8edd776e8dd940327b28b,108,AXS,23
0x4cc19356f2d37338b9802aa8e8fc58b0373296e7,227,KEY,24
0x8cdf7af57e4c8b930e1b23c477c22f076530585e,158,APT,25
0x3845badade8e6dff049820680d1f14bd3903a5d0,37,SAND,26
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,113,FXS,27
0x215cff9fa9f3466b07bc6b5a5f30b925fb71163b,260,MR,28
0xe97fb0268474ef444d732f4ce5cfa6d8772b97c6,150,W,29
0x5b7533812759b45c2b44c19e320ba2cd2681b542,105,AGIX,30
0xed04915c23f00a313a544955524eb7dbd823143d,188,ACH,31
0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,130,STORJ,32
0x92d6c1e31e14520e676a687f0a93788b716beff5,97,DYDX,33
0x36e66fbbce51e4cd5bd3c62b637eb411b18949d4,205,OMNI,34
0x754e822b92ba9be681c461347e0d2d38abc0cf16,246,LBS,35
0xb528edbef013aff855ac3c50b381f253af13b997,175,AEVO,36
0x8802269d1283cdb2a5a329649e5cb4cdcee91ab6,186,FIGHT,37
0xff75ced57419bcaebe5f05254983b013b0646ef5,278,COOK,38
0x2ed58b1fa208e9a08fdaac2a839b8539abe558e8,144,WIF,39
0xd417144312dbf50465b1c641d016962017ef6240,75,CQT,40
0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,201,STMX,41
0x6810e776880c02933d47db1b9fc05908e5386b96,219,GNO,42
0xf17e65822b568b3903685a7c9f496cf7656cc6c2,207,BICO,43
0xd533a949740bb3306d119cc777fa900ba034cd52,74,CRV,44
0x84074ea631dec7a4edcd5303d164d5dea4c653d6,156,SUI,45
0x92d5942f468447f1f21c2092580f15544923b434,248,VSTR,46
0x95ed629b028cf6aadd1408bb988c6d1daabe4767,233,DORKY,47
0x0d8775f648430679a709e98d2b0cb6250d2887ef,109,BAT,48
0x0f5d2fb29fb7d3cfee444a200298f468908cc942,38,MANA,49
0x6215a0fc6ba68cbb0f99a9e1d3a5adf1321b6eb7,287,$MUSK,50
0xfc979087305a826c2b2a0056cfaba50aad3e6439,243,DAFI,51
0xca14007eff0db1f8135f4c25b34de49ab0d42766,103,STRK,52
0x0000000000000000000000000000000000000000,0,ETH,53
0x3429d03c6f7521aec737a0bbf2e5ddcef2c3ae31,89,PIXEL,54
0x710287d1d39dcf62094a83ebb3e736e79400068a,239,ENQAI,55
0x491604c0fdf08347dd1fa4ee062a822a5dd06b5d,177,CTSI,56
0x26b80fbfc01b71495f477d5237071242e0d959d7,84,WROSE,57
0x111111111117dc0aa78b770fa6a738034120c302,104,1INCH,58
0x8207c1ffc5b6804f6024322ccf34f29c3541ae26,126,OGN,59
0xf852ffa34a20113cd741f3cd9406a1a86b70c8ab,258,UNI-V2,60
