token,tokenid,symbol,__row_index
0xb821b75b42da3c9f38383e457fa33c4e4b85a314,271,GREN,0
0xdb82c0d91e057e05600c8f8dc836beb41da6df14,268,SLN,1
0x4691937a7508860f876c9c0a2a617e7d9e945d4b,133,WOO,2
0x419d0d8bdd9af5e606ae2232ed285aff190e711b,228,FUN,3
0xa849eaae994fb86afa73382e9bd88c2b6b18dc71,164,MVL,4
0x3506424f91fd33084466f402d5d97f05f8e3b4af,82,CHZ,5
0x514910771af9ca656af840dff83e8264ecf986ca,50,LINK,6
0x12970e6868f88f6557b76120662c1b3e50a646bf,165,LADYS,7
0x595832f8fc6bf59c85c527fec3740a1b7a361269,127,POWR,8
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,85,OMG,9
0x6135177a17e02658df99a07a2841464deb5b8589,185,FEARNOT,10
0x0258f474786ddfd37abce6df6bbb1dd5dfc4434a,218,ORN,11
0xc98d64da73a6616c42117b582e832812e7b8d57f,167,RSS3,12
0x9d65ff81a3c488d585bbfb0bfe3c7707c7917f54,41,SSV,13
0x43dfc4159d86f3a37a5a4b3d4580b888ad7d4ddd,224,DODO,14
0xf4feec8cf825cd5b23f8abb3075c01c22abd4352,170,DEGEN,15
0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,124,LRC,16
0xd1f17b7a6bff962659ed608bcd6d318bb5fbb249,73,ZUZALU,17
0x061f60d153beeb3f78ed5f38bb326c5b20a65503,78,ZPG,18
0x4b63ce7e179d1db5ddac5d9d54e48356cf3e8b7d,79,AIB,19
0xf8ebf4849f1fa4faf0dff2106a173d3a6cb2eb3a,72,TROLL,20
0x408e41876cccdc0f92210600ef50372656052a38,190,REN,21
0x3010ccb5419f1ef26d40a7cd3f0d707a0fa127dc,282,GEMS,22
0xdac17f958d2ee523a2206206994597c13d831ec7,3,USDT,23
0xdef1ca1fb7fbcdc777520aa7f396b4e015f497ab,249,COW,24
0x3b50805453023a91a8bf641e279401a0b23fa6f9,172,REZ,25
0x046eee2cc3188071c02bfc1745a6b17c656e3f3d,54,RLB,26
0x9e976f211daea0d652912ab99b0dc21a7fd728e4,66,MAP,27
0x9e32b13ce7f2e80a01932b42553652e053d6ed8e,211,METIS,28
0x4b9278b94a1112cad404048903b8d343a810b07e,199,HIFI,29
0xfe0c30065b384f05761f15d0cc899d4f9f9cc0eb,174,ETHFI,30
0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,256,WTAO,31
0xe41d2489571d322189246dafa5ebde1f4699f498,135,ZRX,32
0xf94e7d0710709388bce3161c32b4eea56d3f91cc,286,DSYNC,33
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,4,WBTC,34
0x2dff88a56767223a5529ea5960da7a3f5f766406,119,ID,35
0xf4d2888d29d722226fafa5d9b24f9164c092421e,217,LOOKS,36
0x6fb3e0a217407efff7ca062d46c26e5d60a14d69,121,IOTX,37
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,36,AAVE,38
0x3c3a81e81dc49a522a592e7622a7e711c06bf354,222,MNT,39
0x4d224452801aced8b2f0aebe155379bb5d594381,33,APE,40
0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,213,BAND,41
0x4c1746a800d224393fe2470c70a35717ed4ea5f1,289,PLUME,42
0x5283d291dbcf85356a21ba090e6db59121208b44,44,BLUR,43
0xf8c3527cc04340b208c854e985240c02f7b7793f,161,FRONT,44
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,69,TITANX,45
0x8f8221afbb33998d8584a2b05749ba73c37a938a,220,REQ,46
0x333a4823466879eef910a04d473505da62142069,48,NATION,47
0x1258d60b224c0c5cd888d37bbf31aa5fcfb7e870,292,GPU,48
0x0a6e7ba5042b38349e437ec6db6214aec7b35676,247,SWELL,49
0x137ddb47ee24eaa998a535ab00378d6bfa84f893,128,RDNT,50
0x8f5affe2443ea12c575ad5b13bf8fd235ed184c9,61,TEST,51
0x12e2b8033420270db2f3b328e32370cb5b2ca134,171,SFP,52
0xee2a03aa6dacf51c18679c516ad5283d8e7c2637,206,NEIRO,53
0x6c5ba91642f10282b576d91922ae6448c9d52f4e,163,PHA,54
0x6c3ea9036406852006290770bedfcaba0e23a0e8,15,PYUSD,55
0x8a2279d4a90b6fe1c4b30fa660cc9f926797baa2,215,CHR,56
0x04fa0d235c4abf4bcf4787af4cf447de572ef828,197,UMA,57
0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,68,MATIC,58
0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,42,RNDR,59
0x607f4c5bb672230e8672085532f7e901544a7375,202,RLC,60
0x9aea32b459e96c8ef5010f69130bf95fd129ac05,152,WKLAY,61
0x57b946008913b82e4df85f501cbaed910e58d26c,266,POND,62
0xcb1592591996765ec0efc1f92599a19767ee5ffa,281,BIO,63
0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce,136,BEAM,64
0x4f9254c83eb525f9fcf346490bbb3ed28a81c667,225,CELR,65
0x112b08621e27e10773ec95d250604a041f36c582,285,KAS,66
0x99613a517d20944246ab6ef124a735227a8c1af3,276,Olda,67
0x06b089cbf0403ac2c5f452584f8a18978019b858,251,TBC,68
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,93,MEME,69
0xb1c9d42fa4ba691efe21656a7e6953d999b990c4,297,KANG,70
0x059956483753947536204e89bfad909e1a434cc6,259,ML,71
0xc71b5f631354be6853efe9c3ab6b9590f8302e81,209,ZK,72
0x6982508145454ce325ddbe47a25d4ec3d2311933,94,PEPE,73
0x1bbe973bef3a977fc51cbed703e8ffdefe001fed,102,PORTAL,74
0xcdf7028ceab81fa0c6971208e83fa7872994bee5,195,T,75
0xffe203b59393593965842439ce1e7d7c78109b46,60,DOGE-1,76
0x7448c7456a97769f6cd04f1e83a4a23ccdc46abd,125,MAV,77
0xba5bde662c17e2adff1075610382b9b691296350,176,RARE,78
0x4c19596f5aaff459fa38b0f7ed92f11ae6543784,196,TRU,79
0x98c23e9d8f34fefb1b7bd6a91b7ff122f4e16f5c,261,AETHUSDC,80
0xdefb0b264032e4e128b00d02b3fd0aa00331237b,65,BUDDHA,81
0xc581b735a1688071a1746c968e0798d642ede491,13,EURT,82
0x00c83aecc790e8a4453e5dd3b0b4b3680501a7a7,192,SKL,83
0x4877d83faac234dbd38d0f17bbc27a80604d3aed,183,Illiterate,84
0x6c6ee5e31d828de241282b9606c8e98ea48526e2,118,HOT,85
0xe32e3851e0a4216581342defac353d1efdfb36d9,254,SMFC,86
0x06aac5e9c582df5fd70275ad4fea6805206cceab,295,,87
0x285308b5fc68cc0f737c77cb60042b1fb5633e81,253,ZEUS,88
0xd5930c307d7395ff807f2921f12c5eb82131a789,291,BOLT,89
0x5faa989af96af85384b8a938c2ede4a7378d9875,114,GAL,90
0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c,111,ENJ,91
0x754e822b92ba9be681c461347e0d2d38abc0cf16,246,LBS,92
0xb528edbef013aff855ac3c50b381f253af13b997,175,AEVO,93
0x8802269d1283cdb2a5a329649e5cb4cdcee91ab6,186,FIGHT,94
0xff75ced57419bcaebe5f05254983b013b0646ef5,278,COOK,95
0x2ed58b1fa208e9a08fdaac2a839b8539abe558e8,144,WIF,96
0xa62cc35625b0c8dc1faea39d33625bb4c15bd71c,201,STMX,97
0xd417144312dbf50465b1c641d016962017ef6240,75,CQT,98
0x59d9356e565ab3a36dd77763fc0d87feaf85508c,58,USDM,99
0xfaba6f8e4a5e8ab82f62fe7c39859fa577269be3,162,ONDO,100
0x610dbd98a28ebba525e9926b6aaf88f9159edbfd,178,NSTR,101
0x628a3b2e302c7e896acc432d2d0dd22b6cb9bc88,80,LMWR,102
0x58d97b57bb95320f9a05dc918aef65434969c2b2,272,MORPHO,103
0xad5fdc8c3c18d50315331fca7f66efe5033f6c4c,284,CRAZY,104
0x76a0e27618462bdac7a29104bdcfff4e6bfcea2d,288,SOSO,105
0x6b175474e89094c44da98b954eedeac495271d0f,5,DAI,106
0xb90b2a35c65dbc466b04240097ca756ad2005295,250,BOBO,107
0xdb25f211ab05b1c97d595516f45794528a807ad8,14,EURS,108
0x88df592f8eb5d7bd38bfef7deb0fbc02cf3778a0,132,TRB,109
0x8cdf7af57e4c8b930e1b23c477c22f076530585e,158,APT,110
0x3845badade8e6dff049820680d1f14bd3903a5d0,37,SAND,111
0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0,113,FXS,112
0xf91e605af079384cc7077b3914a4a36019a89ee8,155,SEI,113
0xb8c77482e45f1f44de1745f52c74426c631bdd52,67,BNB,114
0xbbbb2d4d765c1e455e4896a64ba3883e914abbbb,283,BMP,115
