pair,0,1,2,3,4,5,6,7,8,9,10,11,12
FTM/USDC,1742256000000,0.7001,0.7001,0.7001,0.7001,0,1742342399999,0,0,0,0,False,0
CHZ/USDC,1742256000000,0.053,0.053,0.053,0.053,0,1742342399999,0,0,0,0,False,0
BAL/USDC,1742256000000,1.977,1.977,1.977,1.977,0,1742342399999,0,0,0,0,False,0
RSS3/USDC,1742256000000,0.03251,0.03251,0.03251,0.03251,0,1742342399999,0,0,0,0,False,0
SSV/USDC,1742256000000,6.99,6.99,6.99,6.99,0,1742342399999,0,0,0,0,False,0
MMS/ETH,1742256000000,0.01223,0.01223,0.01223,0.01223,0,1742342399999,0,0,0,0,False,0
YFI/USDC,1742256000000,5906,5906,5906,5906,0,1742342399999,0,0,0,0,False,0
LRC/USDC,1742256000000,0.1307,0.1307,0.1307,0.1307,0,1742342399999,0,0,0,0,False,0
ZUZALU/ETH,1742256000000,0.00000241,0.00000241,0.00000241,0.00000241,0,1742342399999,0,0,0,0,False,0
ZUZALU/USDC,1742256000000,0.004025,0.004025,0.004025,0.004025,0,1742342399999,0,0,0,0,False,0
POWR/USDC,1742256000000,0.2232,0.2232,0.2232,0.2232,0,1742342399999,0,0,0,0,False,0
DEGEN/USDC,1742256000000,0.1,0.1,0.1,0.1,0,1742342399999,0,0,0,0,False,0
LADYS/USDC,1742256000000,0.00000004721,0.00000004721,0.00000004721,0.00000004721,0,1742342399999,0,0,0,0,False,0
LINK/USDT,1742256000000,203.1,203.1,203.1,203.1,0,1742342399999,0,0,0,0,False,0
LINK/USDC,1742256000000,14.04,14.28,13.55,13.7,45944.11443,1742342399999,3300.997,6199,3300.997,45944.11443,False,14.051
DODO/USDC,1742256000000,0.0749,0.0752,0.0722,0.0727,5110.79639,1742342399999,69455.4,975,69455.4,5110.79639,False,0.073584
PENDLE/USDC,1742256000000,2.32,2.42,2.246,2.308,95875.933056,1742342399999,41494.978,17828,41494.978,95875.933056,False,2.3154
OMG/USDC,1742256000000,0.2649,0.2649,0.2649,0.2649,0,1742342399999,0,0,0,0,False,0
AXS/USDC,1742256000000,4.305,4.305,4.305,4.305,0,1742342399999,0,0,0,0,False,0
APT/USDC,1742256000000,5.349,5.476,5.224,5.394,86285.383953,1742342399999,16152.318,12868,16152.318,86285.383953,False,5.3167
SAND/USDC,1742256000000,0.2703,0.2703,0.2703,0.2703,0,1742342399999,0,0,0,0,False,0
FXS/USDC,1742256000000,1.777,1.777,1.777,1.777,0,1742342399999,0,0,0,0,False,0
AGIX/USDC,1742256000000,0.9077,0.9077,0.9077,0.9077,0,1742342399999,0,0,0,0,False,0
ACH/USDC,1742256000000,0.03432,0.03432,0.03432,0.03432,0,1742342399999,0,0,0,0,False,0
W/USDC,1742256000000,0.1651,0.1651,0.1651,0.1651,0,1742342399999,0,0,0,0,False,0
STORJ/USDC,1742256000000,0.38,0.38,0.38,0.38,0,1742342399999,0,0,0,0,False,0
LBS/USDT,1742256000000,10000000,10000000,10000000,10000000,0,1742342399999,0,0,0,0,False,0
WIF/USDC,1742256000000,0.503,0.503,0.455,0.458,10742.45401,1742342399999,22634.81,2065,22634.81,10742.45401,False,0.4747
OMNI/USDC,1742256000000,5.14,5.14,5.14,5.14,0,1742342399999,0,0,0,0,False,0
DYDX/USDC,1742256000000,0.6388,0.6411,0.6227,0.6277,103643.806375,1742342399999,164261.11,22053,164261.11,103643.806375,False,0.63862
AEVO/USDC,1742256000000,0.1651,0.1651,0.1651,0.1651,0,1742342399999,0,0,0,0,False,0
CQT/USDC,1742256000000,0.25,0.25,0.25,0.25,0,1742342399999,0,0,0,0,False,0
STMX/USDC,1742256000000,0.004283,0.004283,0.004283,0.004283,0,1742342399999,0,0,0,0,False,0
